Station city,Station country,Year,Temperature mean,Temperature dev.,Temperature mean max.,Temperature mean min.,Temperature absolute max.,Temperature absolute min.,Precipitation total (mm),Precipitation %,Precipitation no. of days >=1mm,Vapor pressure (hPa),Air pressure at sea level (NN),Sunshine dur. (h),Sunshine dur. (%)
Jan Mayen,NOR,2021,1.4,2.8,3.2,-0.4,13.8,-13.3,611,89,128,6,1010.3,,
Svalbard,NOR,2021,-2.9,3.5,-0.5,-5.3,12.4,-24,125,68,40,4.2,1011.3,,
Tromsoe,NOR,2021,3.1,0.3,5.7,0.6,26.5,-13.4,1092,112,163,6.4,1009.7,,
Bodö,NOR,2021,5.2,0.7,7.9,2.5,29.3,-11.5,1240,122,166,7.3,1010.2,,
Bergen,NOR,2021,8.5,0.7,12.1,5.6,28.8,-11.6,2172,97,173,8.8,1012.7,,
Oslo,NOR,2021,7.2,1.5,11.3,3.7,30.2,-14.5,698,91,95,8.1,1012.9,1955,117
Haparanda,SWE,2021,2.1,0.9,6.2,-2.1,28.6,-29.4,774,140,103,7,1011,,
Östersund,SWE,2021,3.2,0.7,6.6,0.1,27.2,-24,,,,6.9,1011.8,1647,107
Stockholm,SWE,2021,8.1,1.5,11.6,5,33.1,-13.2,555,103,84,8.6,1012.6,1963,108
Jönköping,SWE,2021,6.7,1.3,11,2.2,32.9,-20.8,,,,9.1,1013.3,,
Visby,SWE,2021,8.2,1.2,11.6,4.4,31,-15,284,55,85,,1013.2,2211,118
Sodankylä,FIN,2021,0.3,1.3,4.5,-4.4,32,-35.8,586,117,110,6.1,1011.2,1522,97
Kajaani,FIN,2021,2.5,1.1,6.3,-2.1,31.3,-33,,,,7.1,1011.5,,
Jyväskylä,FIN,2021,3.9,1.3,7.9,-0.5,32.8,-31.4,661,103,105,7.4,1011.8,1601,100
Helsinki Airp.,FIN,2021,5.7,1.2,9.7,1.5,32.1,-26.8,,,,8.2,1012.3,,
Lerwick,GBR,2021,7.8,0.8,9.6,5.9,17.7,-5.2,1007,83,192,9.7,1011.6,,
Aberdeen,GBR,2021,8.8,0.8,11.8,5.6,,,740,95,127,9.4,1012.9,1285,95
Waddington,GBR,2021,10.5,1.3,13.8,7.1,29.4,-5.6,608,101,115,10.1,1015.4,1412,92
London,GBR,2021,11.7,1.2,15.4,7.9,32.2,-4.2,653,109,109,10.7,1016.3,1237,82
Camborne,GBR,2021,11.3,1,13.7,8.9,28.3,-1.5,1053,98,150,11.5,1016.7,1486,91
Valentia,IRL,2021,11.1,0.7,13.8,8.5,28.3,-2,1548,108,203,11.3,1015.1,,
Dublin Airp.,IRL,2021,9.8,0.2,13.6,6,26.8,-5.8,668,91,110,10.5,1014.9,1494,104
Belmullet,IRL,2021,10.6,1,13.2,7.9,28.6,-1,1263,111,209,11,1013.6,,
Reykjavik,ISL,2021,5.4,1,8.2,3,,,765,96,150,7.2,1008.4,,
Akureyri,ISL,2021,4.6,1.4,8.3,1.5,27.5,-16.9,637,130,103,6.9,1009.4,1294,124
Aasiaat,GRL,2021,-2.2,2.7,,,,,394,144,97,4.5,1010.8,,
Danmarkshavn,GRL,2021,-8.7,3.6,-5.6,-12.1,19.8,-33,231,175,47,2.9,1014.8,,
Kopenhagen,DNK,2021,9.7,1.1,,,,,765,120,116,10.1,1014.4,,
De Bilt,NLD,2021,10.5,1.1,14.4,6.2,30.8,-10.9,863,107,137,10.8,1016,1724,117
Brüssel,BEL,2021,10.7,0.8,14.2,7.1,29.5,-8.6,1172,143,130,10.5,1016.9,,
Luxemburg,LUX,2021,9.4,1,13.3,5.6,30.6,-10.6,785,90,128,9.9,1017.4,1852,114
Bern-Zollikofen,CHE,2021,9.2,,13.9,5,30.5,-9.9,1141,,121,,1018.5,1863,
Säntis,CHE,2021,-0.9,1.1,1.6,-3.3,16.9,-17.6,3575,132,178,4.7,,1675,100
Genf,CHE,2021,10.9,1.2,15.6,6.2,32.2,-6.5,866,91,103,10.1,1018.1,1951,115
Brest,FRA,2021,11.6,0.7,15.5,8,31.2,-2.9,1043,94,136,11.8,1017.6,1568,90
Paris,FRA,2021,12,1.1,16.5,8.1,33.2,-5.9,706,114,122,10.9,1017.6,1905,109
Straßburg,FRA,2021,10.9,0.9,16.1,6.5,34.3,-13.4,793,129,127,10.5,1017.9,1814,111
Bordeaux,FRA,2021,13.8,1,18.9,9.5,34,-3.8,890,96,120,12.3,1018.4,2125,102
Toulouse,FRA,2021,14,1.1,19,9.7,36.5,-6,596,91,93,12.3,1018.3,2131,104
Marseille,FRA,2021,15.7,0.9,21,10.9,37.9,-4.2,541,99,69,12.5,1016.3,2875,101
Ajaccio,FRA,2021,16.2,1.4,21.6,11.3,40.1,-1.7,536,83,73,13.9,1016,2760,101
La Coruna,ESP,2021,15.2,1.1,18.2,12.2,33.6,2.3,1033,104,129,13.5,1018.9,,
Valladolid,ESP,2021,13.5,1.5,19.6,7.4,39.5,-6.7,400,90,66,9.4,1017.3,2670,105
Barcelona,ESP,2021,17.2,1.9,21,13.6,32.5,-0.5,341,52,43,14.7,1017,,
Madrid/Cuatro V.,ESP,2021,15.8,1.8,21.4,10.2,42.2,-13,410,89,52,9.9,1016.5,2870,103
Palma de Mallorca,ESP,2021,17.6,1.8,22.7,12.5,38.5,-2.3,415,98,54,15.2,1016.9,2597,96
Alicante,ESP,2021,19,1.2,23.7,14.3,39.5,1,314,89,42,15,1017,3151,109
Cadiz,ESP,2021,19.3,1,22.1,16.4,36.9,3.6,424,70,43,16.7,1018.1,,
Almeria,ESP,2021,19.8,1.3,23.9,15.6,38.4,3.8,213,105,22,16.5,1016.6,3108,106
Gibraltar,GIB,2021,18.9,0.7,21.8,16,37,5.3,657,85,39,16,1018,2741,102
Lajes/Azoren,PRT,2021,18.4,1.5,20.9,16,,,1194,94,157,17.8,1020.6,1874,97
Santa Maria/Azoren,PRT,2021,,,,,,,,,,,1021.3,,
Hamburg-Fuhlsb.,DEU,2021,9.7,1.1,13.6,5.7,34.4,-14.4,725,94,130,10.4,1015.3,1482,95
Greifswald,DEU,2021,9.6,1.5,13.1,6,34,-12.7,685,121,113,10.2,1015,1584,91
Berlin-Brandenburg,DEU,2021,10.1,1.5,14.5,5.6,36.5,-14.7,509,100,103,9.9,1015.9,1624,100
Essen,DEU,2021,10.4,0.9,14,7,32.5,-11.8,1088,117,144,10.4,1016.6,1591,109
Dresden,DEU,2021,9.5,0.6,13.5,5.7,33.6,-16.2,736,110,128,9.5,1016.6,1661,105
Frankfurt/M.,DEU,2021,10.5,0.9,15.2,5.9,34.8,-10.6,643,98,124,10.1,1017.4,1842,116
Stuttgart,DEU,2021,9.7,1.1,14.5,4.8,32.5,-14.4,725,101,119,9.6,1017.8,1954,112
München-Stadt,DEU,2021,9.7,1.3,14.3,5.6,32.3,-11.3,1069,110,142,9.3,1017.8,1994,119
Zugspitze,DEU,2021,-4.1,0.7,-1.3,-6.6,14.7,-22,2098,105,176,3.9,,2023,110
Wien,AUT,2021,11.1,1.4,15.5,7.5,36.7,-8.4,584,96,88,9.8,1017,2109,110
Innsbruck,AUT,2021,9.1,0.9,15.3,4.6,33.8,-12.3,970,106,115,9.1,1017.7,2089,109
Sonnblick,AUT,2021,-4.9,0.8,-2.8,-6.7,13.8,-26,1876,116,181,3.7,,2089,125
Prag,CZE,2021,8.6,0.7,13.1,4.3,32,-16.7,569,108,93,9.4,1017.2,1701,102
Brünn,CZE,2021,9.8,1.1,14.3,5.4,32.5,-12.1,584,120,85,9.1,1017.1,2048,121
Sliac,SVK,2021,8.8,0.8,14.8,3.6,34.4,-19,599,87,87,,,,
Poprad,SVK,2021,6.5,0.6,12.7,1.1,33.5,-20.8,637,110,99,8.1,,2232,124
Elbing,POL,2021,7.7,0,10.9,4.8,31.2,-19.3,782,113,133,9.4,1015,2063,134
Warschau,POL,2021,8.9,1.2,13.1,5,32.9,-20.6,677,130,93,9.7,1015.9,,
Breslau,POL,2021,9.8,1.4,14.4,5.3,34,-16.7,499,84,99,9.7,1016.6,1965,131
Budapest,HUN,2021,11.5,1.1,16.6,6.9,37.6,-11.2,443,86,63,9.8,1017.2,2601,133
Debrecen,HUN,2021,11.1,1.2,16.5,6,36.6,-11,380,67,80,10.1,1016.8,2729,138
Pecs,HUN,2021,11.9,1.5,16.9,7.3,36.7,-10.2,578,93,80,10.1,1017.5,,
Belgrad,SRB,2021,13.6,1.8,18.6,9.5,40,-8.1,794,116,102,10.9,1017,2350,116
Podgorica,MNE,2021,17,1.8,22.4,12.2,41.1,-4.2,1593,96,99,11.7,1016.4,,
Ljubljana,SVN,2021,11.5,1.7,16.6,7,35.5,-7.6,1441,103,102,10.5,1017.5,2146,125
Zagreb,HRV,2021,13,1.7,17.9,9.2,38.4,-6.4,,,,10.4,1017.7,,
Split,HRV,2021,17.2,1.3,20.4,14.1,37.1,-2.5,930,113,80,11.2,1015.3,2748,106
Mostar,BIH,2021,16,1.4,21.6,11.3,41.4,-4.1,1540,105,94,13,1016,2358,103
Sarajevo,BIH,2021,11.2,1.7,17.6,6.2,38.5,-9.6,986,106,116,8.9,1015.9,1958,109
Cluj,ROU,2021,9.4,1.1,14.7,4.5,34,-14,586,107,96,9.7,1017.5,1962,97
Timisoara,ROU,2021,12.2,1.5,18.1,6.7,39,-10.9,544,92,87,10.4,1016.8,2168,102
Sibiu,ROU,2021,9.9,1.4,15.7,4.1,33.6,-15.7,668,107,89,9.8,1017.5,2024,111
Sulina,ROU,2021,12.7,1.3,15.3,10,33.6,-11,356,127,69,12.7,1016.4,2278,108
Bukarest,ROU,2021,11.2,0.6,17.7,5.4,38.1,-12.9,701,118,93,11,1016.9,1834,87
Konstanza,ROU,2021,13.2,1.7,16.9,9.6,33.6,-9.7,647,163,80,12.5,1016.7,2237,99
Varna,BGR,2021,13.4,1.4,18.2,9.9,33.7,-8.6,686,143,79,12.8,1016.4,2481,125
Sofia,BGR,2021,10.9,1.2,16.8,5.8,38,-14.8,819,146,103,9.8,1017,2415,119
Triest,ITA,2021,15.4,1.3,19,11.8,35.8,-4.4,,,,,,2274,108
Pisa,ITA,2021,15,1,20.7,9.8,37.2,-4.4,835,92,79,13.5,1016.3,2463,108
Termoli,ITA,2021,17.6,,20.2,15,39.2,1.6,486,126,73,,1015,2283,103
Grazzanise,ITA,2021,16.2,1.1,21.9,10.9,39.2,-2.6,,,,13.5,1015.8,2444,103
Messina,ITA,2021,19,0.7,22.4,16.2,38.8,4,,,,15.1,1015.8,2557,103
Trapani,ITA,2021,18.6,1,22.6,14.5,42.4,2,586,131,77,17.4,1016.4,2629,98
Luqa,MLT,2021,20,1.4,23.6,16.6,41.5,5.8,558,101,54,17.1,1016.7,2908,98
Kerkyra,GRC,2021,18.9,1.5,23.1,13.9,41,-0.2,1432,132,86,15.1,1015,2705,106
Larissa,GRC,2021,16.7,1,22.4,9.7,44,-8.4,563,136,65,11.9,1015.8,,
Athen (Obs.),GRC,2021,19.3,1.7,23.9,15.9,,,346,92,44,13,,,
Athen,GRC,2021,19.8,1.3,24,15.6,43,-0.4,283,76,36,12.4,1015.3,3066,111
Heraklion,GRC,2021,20,1.2,22.8,16.2,40.4,3.6,426,85,44,17.8,1015.1,3053,113
Murmansk,RUS,2021,0.8,0.9,4,-2.2,30.9,-27.3,668,140,146,5.8,1010.6,1446,110
Kanin Nos,RUS,2021,-0.7,0.4,1.5,-2.8,21.8,-28.2,329,76,92,5.9,1010.6,857,77
